Bgrod dka' seng ge,བགྲོད་དཀའ་སེང་གེ
'chi med seng ge (Amarasiṁha),འཆི་མེད་སེང་གེ
Nag po dam tshig rdo rje,ནག་པོ་དམ་ཚིག་རྡོ་རྗེ
Dmar po,དམར་པོ
Langka rgya ba bzang po,ལངཀ་རྒྱ་བ་བཟང་པོ
Nor rgyun ma,ནོར་རྒྱུན་མ
Las kyi shabs,ལས་ཀྱི་ཤབས
Lalita,
shūnyatāsamādhivajrapāda,
Padmavajra,
Dbyings kyi gtso mo,དབྱིངས་ཀྱི་གཙོ་མོ
Nikuni,
Seng ge mi gyo ba,སེང་གེ་མི་གྱོ་བ
Dul ba'i lha (Vinītadeva),དུལ་བའི་ལྷ
Chos skyob kyis bsdus po (法救集),ཆོས་སྐྱོབ་ཀྱིས་བསྡུས་པོ ༼法救集༽
Sku med rdo rje,སྐུ་མེད་རྡོ་རྗེ
Klu'i byang chub(?),ཀླུའི་བྱང་ཆུབ༼?༽
Klu sgrub snying po (Nāgārjunagarbha),ཀླུ་སྒྲུབ་སྙིང་པོ ༼ནāགāརྗུནགརབྷ༽
shangkarānanda,
Dha,
Bde ba'i my gu,བདེ་བའི་མྱུ་གུ
Thams cad mkhyen pa'i bshes gnyen,ཐམས་ཅད་མཁྱེན་པའི་བཤེས་གཉེན
Rdo rje dril bu pa,རྡོ་རྗེ་དྲིལ་བུ་པ
Vitakarma,
Candrākaragupta,
Yon tan 'od,ཡོན་ཏན་འོད
Jaitāri dgra las rnam par rgyal ba,ཇཻཏāརི་དགྲ་ལས་རྣམ་པར་རྒྱལ་བ
Dam pa rgya gar,དམ་པ་རྒྱ་གར
Ye shes snying po,ཡེ་ཤེས་སྙིང་པོ
Rnam par rgyal pa dbang po,རྣམ་པར་རྒྱལ་པ་དབང་པོ
Dge byed,དགེ་བྱེད
shrīshāntakra,
Sprul pa'i rnal 'byor pa,སྤྲུལ་པའི་རྣལ་འབྱོར་པ
Gang ba spel (Pūrṇavardhana),གང་བ་སྤེལ
Phyag na rdo rje,ཕྱག་ན་རྡོ་རྗེ
Byams pa,བྱམས་པ
Dbyig gi bshes gnyen,དབྱིག་གི་བཤེས་གཉེན
Sūryagupta,
shrīvanaratna,
Samantashrī,
Maṇivarja,
Nag mo khol,ནག་མོ་ཁོལ
shākyarakṣita,
Stong nyid ting nge 'dsin,སྟོང་ཉིད་ཏིང་ངེ་འཛིན
Dbyig gnyen或Chos skyong,དབྱིག་གཉེན ཆོས་སྐྱོང
Dri med bzang po,དྲི་མེད་བཟང་པོ
Brgya byin sdang po,བརྒྱ་བྱིན་སྡང་པོ
Rab 'byor dbyangs,རབ་འབྱོར་དབྱངས
shrījaganmitrānanda,
Varamati,
Blo gros chen po,བློ་གྲོས་ཆེན་པོ
Gnyis su med pa'i sbas pa,གཉིས་སུ་མེད་པའི་སྦས་པ
Ajitamitrayogin,
Sangs rygas shabs,སངས་རྒྱས་ཤབས
Se rtsa bsod nams rgyal mtshan (?),སེ་རྩ་བསོད་ནམས་རྒྱལ་མཚན ༼?༽
'phrog byed 'joms pa,འཕྲོག་བྱེད་འཇོམས་པ
Baliṁ,
nyin mor mdsad,ཉིན་མོར་མཛད
Stong nyid rdo rje,སྟོང་ཉིད་རྡོ་རྗེ
Mar me mdsad,མར་མེ་མཛད
Gnyis med rdo rje,གཉིས་མེད་རྡོ་རྗེ
Thagana,
nyi mas bsrungs pa,ཉི་མས་བསྲུངས་པ
Snang byed zla ba,སྣང་བྱེད་ཟླ་བ
Dga' ba'i rdo rje,དགའ་བའི་རྡོ་རྗེ
shrībuddhaguhya,
Sbyin pa'i dbang po (Dānendra),སྦྱིན་པའི་དབང་པོ
Rgyal ba maitri pa,རྒྱལ་བ་མཻཏྲི་པ
Mahāprajnyārakṣita,
nyin mor byed pa'i grags pa,ཉིན་མོར་བྱེད་པའི་གྲགས་པ
Lhas sbas,ལྷས་སྦས
Avadhūti pa,
Nag gi dbang phyug grags pa,ནག་གི་དབང་ཕྱུག་གྲགས་པ
Ātre(ya),
Sgra gcan 'dsin,སྒྲ་གཅན་འཛིན
